point_datetime,point_uuid,set_id,game_id,point_id,match_point,set_point,break_point,server,side,winner,ace_flag,double_fault_flag,serve,serve_type,serve_target,net_approach,first_net_approacher,net_approach_type,rally_length,final_shot,final_shot_hand,final_shot_type,metadata
2025-03-19 03:10:21.265605+00:00,1-1-1-1-0,1,1,1,0,0,0,1,0,1,True,False,1,1.0,1.0,False,,,1.0,1.0,,,"{'player1_name': 'Jannik Sinner', 'player2_name': 'Alexander Zverev', 'server': 1, 'match_best_of': 5, 'set_num_games': 6, 'set_tiebreak_to': 7, 'match_tiebreak': False, 'match_tiebreak_to': 10, 'datetime': '2025-01-26 08:30:00'}"
2025-03-19 03:10:44.077320+00:00,1-1-2-1-1,1,1,2,0,0,0,1,1,1,False,False,2,1.0,1.0,False,,,1.0,2.0,1.0,1.0,"{'player1_name': 'Jannik Sinner', 'player2_name': 'Alexander Zverev', 'server': 1, 'match_best_of': 5, 'set_num_games': 6, 'set_tiebreak_to': 7, 'match_tiebreak': False, 'match_tiebreak_to': 10, 'datetime': '2025-01-26 08:30:00'}"
2025-03-19 03:11:04.047321+00:00,1-1-3-1-0,1,1,3,0,0,0,1,0,1,False,False,2,1.0,3.0,False,,,1.0,2.0,1.0,1.0,"{'player1_name': 'Jannik Sinner', 'player2_name': 'Alexander Zverev', 'server': 1, 'match_best_of': 5, 'set_num_games': 6, 'set_tiebreak_to': 7, 'match_tiebreak': False, 'match_tiebreak_to': 10, 'datetime': '2025-01-26 08:30:00'}"
2025-03-19 03:11:53.645848+00:00,1-1-4-1-1,1,1,4,0,0,0,1,1,1,False,False,2,1.0,3.0,False,,,2.0,2.0,1.0,1.0,"{'player1_name': 'Jannik Sinner', 'player2_name': 'Alexander Zverev', 'server': 1, 'match_best_of': 5, 'set_num_games': 6, 'set_tiebreak_to': 7, 'match_tiebreak': False, 'match_tiebreak_to': 10, 'datetime': '2025-01-26 08:30:00'}"
2025-03-19 03:13:41.376382+00:00,1-2-5-2-0,1,2,5,0,0,0,2,0,2,False,False,2,1.0,1.0,False,,,4.0,3.0,2.0,1.0,"{'player1_name': 'Jannik Sinner', 'player2_name': 'Alexander Zverev', 'server': 1, 'match_best_of': 5, 'set_num_games': 6, 'set_tiebreak_to': 7, 'match_tiebreak': False, 'match_tiebreak_to': 10, 'datetime': '2025-01-26 08:30:00'}"
2025-03-19 03:14:30.342710+00:00,1-2-6-2-1,1,2,6,0,0,0,2,1,2,False,False,3,2.0,2.0,False,,,,3.0,1.0,1.0,"{'player1_name': 'Jannik Sinner', 'player2_name': 'Alexander Zverev', 'server': 1, 'match_best_of': 5, 'set_num_games': 6, 'set_tiebreak_to': 7, 'match_tiebreak': False, 'match_tiebreak_to': 10, 'datetime': '2025-01-26 08:30:00'}"
2025-03-19 03:15:41.540892+00:00,1-2-7-2-0,1,2,7,0,0,0,2,0,1,False,False,2,1.0,3.0,False,,,3.0,1.0,2.0,1.0,"{'player1_name': 'Jannik Sinner', 'player2_name': 'Alexander Zverev', 'server': 1, 'match_best_of': 5, 'set_num_games': 6, 'set_tiebreak_to': 7, 'match_tiebreak': False, 'match_tiebreak_to': 10, 'datetime': '2025-01-26 08:30:00'}"
2025-03-19 03:15:53.234874+00:00,1-2-8-2-1,1,2,8,0,0,0,2,1,2,True,False,1,1.0,3.0,False,,,1.0,1.0,,,"{'player1_name': 'Jannik Sinner', 'player2_name': 'Alexander Zverev', 'server': 1, 'match_best_of': 5, 'set_num_games': 6, 'set_tiebreak_to': 7, 'match_tiebreak': False, 'match_tiebreak_to': 10, 'datetime': '2025-01-26 08:30:00'}"
2025-03-19 03:16:46.609210+00:00,1-2-9-2-0,1,2,9,0,0,0,2,0,2,False,False,3,1.0,1.0,False,,,4.0,2.0,1.0,1.0,"{'player1_name': 'Jannik Sinner', 'player2_name': 'Alexander Zverev', 'server': 1, 'match_best_of': 5, 'set_num_games': 6, 'set_tiebreak_to': 7, 'match_tiebreak': False, 'match_tiebreak_to': 10, 'datetime': '2025-01-26 08:30:00'}"
2025-03-19 03:17:49.494234+00:00,1-3-10-1-0,1,3,10,0,0,0,1,0,1,False,False,2,1.0,1.0,False,,,1.0,2.0,2.0,7.0,"{'player1_name': 'Jannik Sinner', 'player2_name': 'Alexander Zverev', 'server': 1, 'match_best_of': 5, 'set_num_games': 6, 'set_tiebreak_to': 7, 'match_tiebreak': False, 'match_tiebreak_to': 10, 'datetime': '2025-01-26 08:30:00'}"
